index,lat,lon,alt,heading,pitch,roll,yaw
0,20.64226,-103.8181416667,2148.0,173.0,0.47,0.23,-175.83
1,20.6421016667,-103.8181233333,2149.0,173.0,0.38,0.38,-175.21
2,20.6421016667,-103.8181233333,2149.0,173.0,0.35,0.5,-174.8
3,20.6421016667,-103.8181233333,2149.0,173.0,0.35,0.5,-174.8
4,20.6421016667,-103.8181233333,2149.0,173.0,0.32,0.55,-174.35
5,20.6421016667,-103.8181233333,2149.0,173.0,0.32,0.55,-174.35
6,20.6421016667,-103.8181233333,2149.0,173.0,0.35,0.88,-173.35
7,20.6419966667,-103.8181116667,2148.0,173.0,0.41,1.3,-172.34
8,20.6419966667,-103.8181116667,2148.0,173.0,0.55,2.2,-171.08
9,20.6418416667,-103.818095,2148.0,174.0,0.55,2.51,-170.51
10,20.6418416667,-103.818095,2148.0,174.0,0.58,2.62,-170.09
11,20.6418416667,-103.818095,2148.0,174.0,0.6,2.58,-170.19
12,20.6417366667,-103.818085,2148.0,175.0,0.59,2.35,-170.55
13,20.6417366667,-103.818085,2148.0,175.0,0.6,2.17,-170.62
14,20.6416316667,-103.8180766667,2148.0,175.0,0.61,1.99,-170.88
15,20.6416316667,-103.8180766667,2148.0,175.0,0.68,1.39,-171.18
16,20.6416316667,-103.8180766667,2148.0,175.0,0.69,0.72,-171.61
17,20.6414766667,-103.818065,2148.0,176.0,0.66,0.34,-172.14
18,20.6414766667,-103.818065,2148.0,176.0,0.54,0.44,-172.27
19,20.6413733333,-103.8180566667,2148.0,176.0,0.49,0.5,-172.48
20,20.6413733333,-103.8180566667,2148.0,176.0,0.47,0.69,-172.66
21,20.6413733333,-103.8180566667,2148.0,176.0,0.47,0.71,-172.66
22,20.6412166667,-103.8180466667,2148.0,176.0,0.46,0.76,-172.53
23,20.6412166667,-103.8180466667,2148.0,176.0,0.42,1.07,-171.98
24,20.6409566667,-103.81803,2148.0,176.0,0.39,0.88,-172.82
25,20.6409566667,-103.81803,2148.0,176.0,0.35,0.59,-173.29
26,20.640855,-103.818025,2148.0,177.0,0.35,0.59,-173.29
27,20.640855,-103.818025,2148.0,177.0,0.35,0.59,-173.29
28,20.640855,-103.818025,2148.0,177.0,0.25,0.35,-173.79
29,20.640855,-103.818025,2148.0,177.0,0.25,0.35,-173.79
30,20.640855,-103.818025,2148.0,177.0,0.34,0.21,-174.67
31,20.640855,-103.818025,2148.0,177.0,0.28,0.28,-175.03
32,20.6406983333,-103.8180166667,2148.0,177.0,0.27,0.25,-175.83
33,20.6406983333,-103.8180166667,2148.0,177.0,0.07,-0.63,-176.65
34,20.640595,-103.8180116667,2148.0,176.0,-0.02,-1.05,-176.75
35,20.640595,-103.8180116667,2148.0,176.0,-0.11,-1.53,-176.48
36,20.640595,-103.8180116667,2148.0,176.0,-0.06,-1.14,-175.93
37,20.64049,-103.818005,2148.0,176.0,0.15,0.96,-174.9
38,20.640335,-103.817995,2148.0,176.0,0.5,0.99,-173.29
39,20.6400733333,-103.8179783333,2148.0,176.0,0.49,-0.12,-173.31
40,20.63997,-103.8179716667,2148.0,176.0,0.14,0.18,-174.74
41,20.6397083333,-103.8179566667,2148.0,176.0,0.06,0.2,-174.8
42,20.6394466667,-103.81794,2148.0,176.0,0.21,0.52,-173.74
